qty issued,FLOAT
issue no,INTEGER
issue date,TIME
workcentre id,INTEGER
workcentre,INTEGER
units req,FLOAT
units issued,FLOAT
wo ref,STR
units reqd,FLOAT
required by,TIME
released date,TIME
released,INTEGER
additional costs,FLOAT
player coach,STR
algorithm,STR
reference count,INTEGER
ranking,FLOAT
distribution,STR
actor user,INTEGER
actor name,BINARY
ar id,INTEGER
ar namespace,INTEGER
ar title,BINARY
ar comment id,INTEGER
ar user,INTEGER
ar user text,BINARY
ar actor,INTEGER
ar timestamp,BINARY
ar minor edit,INTEGER
ar rev id,INTEGER
ar text id,INTEGER
ar deleted,INTEGER
ar len,INTEGER
ar page id,INTEGER
ar parent id,INTEGER
ar sha,BINARY
ar content model,BINARY
ar content format,BINARY
bp user,INTEGER
bp app id,BINARY
bp token,BINARY
cat title,BINARY
cat pages,INTEGER
cat subcats,INTEGER
cat files,INTEGER
cl from,INTEGER
cl to,BINARY
cl sortkey,BINARY
cl sortkey prefix,BINARY
cl timestamp,TIME
cl collation,BINARY
ct id,INTEGER
ct rc id,INTEGER
ct log id,INTEGER
ct rev id,INTEGER
ct tag id,INTEGER
ctd id,INTEGER
ctd name,BINARY
ctd user defined,INTEGER
ctd count,INTEGER
comment hash,INTEGER
content size,INTEGER
content sha,BINARY
content model,INTEGER
content address,BINARY
model id,INTEGER
model name,BINARY
el id,INTEGER
el from,INTEGER
el index,BINARY
fa id,INTEGER
fa name,BINARY
fa archive name,BINARY
fa storage group,BINARY
fa storage key,BINARY
fa deleted user,INTEGER
fa deleted timestamp,BINARY
fa deleted reason id,INTEGER
fa size,INTEGER
fa width,INTEGER
fa height,INTEGER
fa bits,INTEGER
img name,BINARY
img width,INTEGER
img height,INTEGER
img bits,INTEGER
il from,INTEGER
il from namespace,INTEGER
il to,BINARY
iw prefix,BINARY
iw wikiid,BINARY
iw local,INTEGER
iw trans,INTEGER
ipc rev id,INTEGER
ipc rev timestamp,BINARY
ipc hex,BINARY
ipb id,INTEGER
ipb user,INTEGER
ipb by,INTEGER
ipb by text,BINARY
ipb by actor,INTEGER
ipb reason id,INTEGER
ipb timestamp,BINARY
ipb auto,INTEGER
ipb anon only,INTEGER
ipb create account,INTEGER
ipb enable autoblock,INTEGER
ipb expiry,BINARY
ipb deleted,INTEGER
ipb block email,INTEGER
ipb allow usertalk,INTEGER
ipb parent block id,INTEGER
ipb sitewide,INTEGER
ir ipb id,INTEGER
ir type,INTEGER
ir value,INTEGER
iwl from,INTEGER
iwl prefix,BINARY
iwl title,BINARY
job cmd,BINARY
job namespace,INTEGER
job timestamp,BINARY
job random,INTEGER
job attempts,INTEGER
job token,BINARY
job token timestamp,BINARY
job sha,BINARY
lc lang,BINARY
lc key,BINARY
ll from,INTEGER
ll lang,BINARY
ll title,BINARY
ls field,BINARY
ls value,BINARY
ls log id,INTEGER
log action,BINARY
log timestamp,BINARY
log user,INTEGER
log user text,BINARY
log actor,INTEGER
log namespace,INTEGER
log title,BINARY
log page,INTEGER
log comment id,INTEGER
log deleted,INTEGER
md module,BINARY
md skin,BINARY
keyname,BINARY
exptime,TIME
oi name,BINARY
oi archive name,BINARY
oi size,INTEGER
oi width,INTEGER
oi height,INTEGER
oi bits,INTEGER
oi description id,INTEGER
oi user,INTEGER
oi user text,BINARY
oi actor,INTEGER
oi timestamp,BINARY
page namespace,INTEGER
page is redirect,INTEGER
page is new,INTEGER
page random,FLOAT
page touched,BINARY
page links updated,BINARY
page latest,INTEGER
page len,INTEGER
page content model,BINARY
page lang,BINARY
pp page,INTEGER
pp propname,BINARY
pp sortkey,FLOAT
pr id,INTEGER
pr page,INTEGER
pr type,BINARY
pr level,BINARY
pr cascade,INTEGER
pr user,INTEGER
pr expiry,BINARY
pl from,INTEGER
pl from namespace,INTEGER
pl namespace,INTEGER
pl title,BINARY
pt namespace,INTEGER
pt title,BINARY
pt user,INTEGER
pt reason id,INTEGER
pt timestamp,BINARY
pt expiry,BINARY
pt create perm,BINARY
qc type,BINARY
qc value,INTEGER
qc namespace,INTEGER
qc title,BINARY
qci type,BINARY
qci timestamp,BINARY
qcc type,BINARY
qcc value,INTEGER
qcc namespace,INTEGER
qcc title,BINARY
qcc namespacetwo,INTEGER
qcc titletwo,BINARY
rc id,INTEGER
rc timestamp,BINARY
rc user,INTEGER
rc user text,BINARY
rc actor,INTEGER
rc namespace,INTEGER
rc title,BINARY
rc comment id,INTEGER
rc minor,INTEGER
rc bot,INTEGER
rc new,INTEGER
rc cur id,INTEGER
rc this oldid,INTEGER
rc last oldid,INTEGER
rc type,INTEGER
rc source,BINARY
rc patrolled,INTEGER
rc ip,BINARY
rc old len,INTEGER
rc new len,INTEGER
rc deleted,INTEGER
rc logid,INTEGER
rc log type,BINARY
rc log action,BINARY
rd from,INTEGER
rd namespace,INTEGER
rd title,BINARY
rd interwiki,BINARY
rd fragment,BINARY
rev id,INTEGER
rev page,INTEGER
rev text id,INTEGER
rev comment,BINARY
rev user,INTEGER
rev user text,BINARY
rev timestamp,BINARY
rev minor edit,INTEGER
rev deleted,INTEGER
rev len,INTEGER
rev parent id,INTEGER
rev sha,BINARY
rev content model,BINARY
rev content format,BINARY
revactor rev,INTEGER
revactor actor,INTEGER
revactor timestamp,BINARY
revactor page,INTEGER
revcomment rev,INTEGER
revcomment comment id,INTEGER
si page,INTEGER
si title,STR
si text,STR
si site,INTEGER
si type,BINARY
si key,BINARY
ss row id,INTEGER
ss total edits,INTEGER
ss good articles,INTEGER
ss total pages,INTEGER
ss users,INTEGER
ss active users,INTEGER
ss images,INTEGER
site global key,BINARY
site type,BINARY
site group,BINARY
site source,BINARY
site language,BINARY
site protocol,BINARY
site domain,BINARY
site forward,INTEGER
slot revision id,INTEGER
slot role id,INTEGER
slot content id,INTEGER
slot origin,INTEGER
tl from,INTEGER
tl from namespace,INTEGER
tl namespace,INTEGER
tl title,BINARY
old id,INTEGER
ul key,BINARY
us id,INTEGER
us user,INTEGER
us key,BINARY
us orig path,BINARY
us path,BINARY
us source type,BINARY
us timestamp,BINARY
us status,BINARY
us chunk inx,INTEGER
us size,INTEGER
us sha,BINARY
us mime,BINARY
user real name,BINARY
user newpass time,BINARY
user touched,BINARY
user token,BINARY
user email authenticated,BINARY
user email token,BINARY
user email token expires,BINARY
user registration,BINARY
user editcount,INTEGER
user password expires,BINARY
ufg user,INTEGER
ufg group,BINARY
ug user,INTEGER
ug group,BINARY
ug expiry,BINARY
user last timestamp,BINARY
up user,INTEGER
up property,BINARY
wl id,INTEGER
wl user,INTEGER
wl namespace,INTEGER
wl title,BINARY
wl notificationtimestamp,BINARY
is elti,INTEGER
vysledek,STR
dateline,INTEGER
cpstyle,STR
cplanguage,STR
codepress,INTEGER
defaultviews,STR
loginattempts,INTEGER
loginlockoutexpiry,INTEGER
authsecret,STR
recovery codes,STR
loginkey,STR
lastactive,INTEGER
authenticated,INTEGER
vid,INTEGER
fields,STR
custom profile fields,STR
sortby,STR
perpage,INTEGER
view type,STR
aid,INTEGER
fid,INTEGER
startdate,INTEGER
enddate,INTEGER
allowhtml,INTEGER
allowmycode,INTEGER
allowsmilies,INTEGER
posthash,STR
attachname,STR
dateuploaded,INTEGER
atid,INTEGER
maxsize,INTEGER
forums,STR
avatarfile,INTEGER
validated,INTEGER
misc,STR
badword,STR
regex,INTEGER
lastuse,INTEGER
oldgroup,INTEGER
oldadditionalgroups,STR
olddisplaygroup,INTEGER
bantime,STR
lifted,INTEGER
touid,INTEGER
canviewcalendar,INTEGER
canaddevents,INTEGER
canbypasseventmod,INTEGER
canmoderateevents,INTEGER
disporder,INTEGER
startofweek,INTEGER
showbirthdays,INTEGER
eventlimit,INTEGER
moderation,INTEGER
allowimgcode,INTEGER
allowvideocode,INTEGER
imagehash,STR
imagestring,STR
delaydateline,INTEGER
tids,STR
inputs,STR
starttime,INTEGER
endtime,INTEGER
ignoretimezone,INTEGER
usingtime,INTEGER
repeats,STR
canview,INTEGER
canviewthreads,INTEGER
canonlyviewownthreads,INTEGER
candlattachments,INTEGER
canpostthreads,INTEGER
canpostreplys,INTEGER
canonlyreplyownthreads,INTEGER
canpostattachments,INTEGER
canratethreads,INTEGER
caneditposts,INTEGER
candeleteposts,INTEGER
candeletethreads,INTEGER
caneditattachments,INTEGER
canviewdeletionnotice,INTEGER
modposts,INTEGER
modthreads,INTEGER
mod edit posts,INTEGER
modattachments,INTEGER
canpostpolls,INTEGER
canvotepolls,INTEGER
cansearch,INTEGER
linkto,STR
parentlist,STR
open,INTEGER
threads,INTEGER
lastpost,INTEGER
lastposter,STR
lastposteruid,INTEGER
lastposttid,INTEGER
lastpostsubject,STR
allowpicons,INTEGER
allowtratings,INTEGER
usepostcounts,INTEGER
usethreadcounts,INTEGER
requireprefix,INTEGER
showinjump,INTEGER
overridestyle,INTEGER
rulestype,INTEGER
rulestitle,STR
rules,STR
unapprovedthreads,INTEGER
unapprovedposts,INTEGER
deletedthreads,INTEGER
deletedposts,INTEGER
defaultdatecut,INTEGER
defaultsortby,STR
defaultsortorder,STR
lid,INTEGER
canmanagemembers,INTEGER
canmanagerequests,INTEGER
caninvitemembers,INTEGER
hid,INTEGER
usetranslation,INTEGER
iid,INTEGER
invite,INTEGER
toaddress,STR
fromaddress,STR
smtperror,STR
smtpcode,INTEGER
fromuid,INTEGER
fromemail,STR
toemail,STR
tid,INTEGER
mailto,STR
mailfrom,STR
htmlmessage,STR
senddate,INTEGER
sentcount,INTEGER
totalcount,INTEGER
isgroup,INTEGER
cansoftdeleteposts,INTEGER
canrestoreposts,INTEGER
cansoftdeletethreads,INTEGER
canrestorethreads,INTEGER
canviewips,INTEGER
canviewunapprove,INTEGER
canviewdeleted,INTEGER
canopenclosethreads,INTEGER
canstickunstickthreads,INTEGER
canapproveunapprovethreads,INTEGER
canapproveunapproveposts,INTEGER
canapproveunapproveattachs,INTEGER
canmanagethreads,INTEGER
canmanagepolls,INTEGER
canpostclosedthreads,INTEGER
canmovetononmodforum,INTEGER
canusecustomtools,INTEGER
canmanageannouncements,INTEGER
canmanagereportedposts,INTEGER
canviewmodlog,INTEGER
postoptions,STR
threadoptions,STR
parseorder,INTEGER
numoptions,INTEGER
numvotes,INTEGER
maxoptions,INTEGER
voteoption,INTEGER
replyto,INTEGER
includesig,INTEGER
smilieoff,INTEGER
edituid,INTEGER
edittime,INTEGER
editreason,STR
pmid,INTEGER
toid,INTEGER
fromid,INTEGER
deletetime,INTEGER
statustime,INTEGER
receipt,INTEGER
readtime,INTEGER
registration,INTEGER
postbit,INTEGER
viewableby,STR
editableby,STR
postnum,INTEGER
plid,INTEGER
oldusergroup,STR
newusergroup,INTEGER
logging,INTEGER
posttype,STR
threadtype,STR
registered,INTEGER
registeredtype,STR
online,INTEGER
onlinetype,STR
reputations,INTEGER
reputationtype,STR
referrals,INTEGER
referralstype,STR
warnings,INTEGER
warningstype,STR
requirements,STR
originalusergroup,STR
usergrouptype,STR
shown,INTEGER
correct,INTEGER
incorrect,INTEGER
reportstatus,INTEGER
reasonid,INTEGER
reporters,STR
lastreport,INTEGER
appliesto,STR
adduid,INTEGER
reputation,INTEGER
resulttype,STR
querycache,STR
nopermission,INTEGER
isdefault,INTEGER
optionscode,STR
find,STR
showclickable,INTEGER
lastvisit,INTEGER
numusers,INTEGER
numthreads,INTEGER
numposts,INTEGER
minute,STR
hour,STR
weekday,STR
nextrun,INTEGER
lastrun,INTEGER
def,INTEGER
stylesheets,STR
allowedgroups,STR
attachedto,STR
stylesheet,STR
cachefile,STR
displaystyle,STR
poll,INTEGER
firstpost,INTEGER
replies,INTEGER
sticky,INTEGER
numratings,INTEGER
totalratings,INTEGER
attachmentcount,INTEGER
ufid,INTEGER
namestyle,STR
starimage,STR
isbannedgroup,INTEGER
canviewprofiles,INTEGER
canviewboardclosed,INTEGER
canundovotes,INTEGER
canusepms,INTEGER
cansendpms,INTEGER
cantrackpms,INTEGER
candenypmreceipts,INTEGER
pmquota,INTEGER
maxpmrecipients,INTEGER
cansendemail,INTEGER
cansendemailoverride,INTEGER
maxemails,INTEGER
emailfloodtime,INTEGER
canviewmemberlist,INTEGER
canviewonline,INTEGER
canviewwolinvis,INTEGER
canviewonlineips,INTEGER
cancp,INTEGER
issupermod,INTEGER
canusercp,INTEGER
canuploadavatars,INTEGER
canratemembers,INTEGER
canchangename,INTEGER
canbereported,INTEGER
canchangewebsite,INTEGER
showforumteam,INTEGER
usereputationsystem,INTEGER
cangivereputations,INTEGER
candeletereputations,INTEGER
reputationpower,INTEGER
maxreputationsday,INTEGER
maxreputationsperuser,INTEGER
maxreputationsperthread,INTEGER
candisplaygroup,INTEGER
attachquota,INTEGER
cancustomtitle,INTEGER
canwarnusers,INTEGER
canreceivewarnings,INTEGER
maxwarningsday,INTEGER
canmodcp,INTEGER
showinbirthdaylist,INTEGER
canoverridepm,INTEGER
canusesig,INTEGER
canusesigxposts,INTEGER
signofollow,INTEGER
edittimelimit,INTEGER
maxposts,INTEGER
showmemberlist,INTEGER
canmanageannounce,INTEGER
canmanagemodqueue,INTEGER
canmanagereportedcontent,INTEGER
canviewmodlogs,INTEGER
caneditprofiles,INTEGER
canbanusers,INTEGER
canviewwarnlogs,INTEGER
canuseipsearch,INTEGER
threadnum,INTEGER
avatardimensions,STR
avatartype,STR
additionalgroups,STR
displaygroup,INTEGER
yahoo,STR
google,STR
birthdayprivacy,STR
allownotices,INTEGER
hideemail,INTEGER
subscriptionmethod,INTEGER
receivepms,INTEGER
receivefrombuddy,INTEGER
pmnotice,INTEGER
pmnotify,INTEGER
buddyrequestspm,INTEGER
buddyrequestsauto,INTEGER
threadmode,STR
showimages,INTEGER
showvideos,INTEGER
showsigs,INTEGER
showavatars,INTEGER
showquickreply,INTEGER
showredirect,INTEGER
ppp,INTEGER
tpp,INTEGER
daysprune,INTEGER
dateformat,STR
timeformat,STR
dst,INTEGER
dstcorrection,INTEGER
buddylist,STR
ignorelist,STR
away,INTEGER
awaydate,INTEGER
returndate,STR
awayreason,STR
pmfolders,STR
notepad,STR
referrer,INTEGER
regip,BINARY
lastip,BINARY
timeonline,INTEGER
showcodebuttons,INTEGER
totalpms,INTEGER
unreadpms,INTEGER
warningpoints,INTEGER
moderateposts,INTEGER
moderationtime,INTEGER
suspendposting,INTEGER
suspensiontime,INTEGER
suspendsignature,INTEGER
suspendsigtime,INTEGER
coppauser,INTEGER
classicpostbit,INTEGER
usernotes,STR
sourceeditor,INTEGER
utid,INTEGER
wid,INTEGER
issuedby,INTEGER
daterevoked,INTEGER
revokedby,INTEGER
revokereason,STR
expirationtime,INTEGER
ring struc id,INTEGER
h t id,FLOAT
customer number,INTEGER
contact last name,STR
contact first name,STR
sales rep employee number,INTEGER
meter,FLOAT
capacity,INTEGER
opening year,INTEGER
stadium id,INTEGER
swimmer id,INTEGER
number sup,STR
trip,INTEGER
trip sup,STR
onboard at departure,INTEGER
death at cape,INTEGER
left at cape,INTEGER
onboard at cape,INTEGER
death during voyage,INTEGER
onboard at arrival,INTEGER
cont id,INTEGER
continent,STR
maker,STR
model,STR
make id,INTEGER
make,STR
edispl,FLOAT
accelerate,FLOAT
address details,STR
regular order id,INTEGER
distributer id,INTEGER
actual order id,INTEGER
actual order date,TIME
date from,TIME
address type,STR
date to,TIME
route id,INTEGER
route name,STR
other route details,STR
location code,STR
location address id,INTEGER
truck id,INTEGER
truck licence number,STR
truck details,STR
employee address id,INTEGER
employee name,STR
employee phone,STR
delivery status code,STR
driver employee id,INTEGER
id bod stav,INTEGER
card id,INTEGER
gas station id,INTEGER
sales id,INTEGER
sales person id,INTEGER
fault severity,INTEGER
work order id,INTEGER
operation sequence,INTEGER
location id,INTEGER
scheduled start date,TIME
scheduled end date,TIME
actual start date,TIME
actual end date,TIME
actual resource hrs,FLOAT
quarter,INTEGER
dayof month,INTEGER
flight date,TIME
unique carrier,STR
airline id,INTEGER
carrier,STR
tail num,STR
flight num,INTEGER
origin airport id,INTEGER
origin airport seq id,INTEGER
origin city market id,INTEGER
origin city name,STR
origin state,STR
origin state fips,INTEGER
origin state name,STR
origin wac,INTEGER
dest airport id,INTEGER
dest airport seq id,INTEGER
dest city market id,INTEGER
dest,STR
dest city name,STR
dest state,STR
dest state fips,INTEGER
dest state name,STR
dest wac,INTEGER
cr s dep time,INTEGER
dep time,INTEGER
dep delay,FLOAT
ring id,INTEGER
franch id,STR
franch name,STR
n aassoc,STR
denumr,STR
mesumr,STR
rokumr,INTEGER
pricumr,INTEGER
molregno,INTEGER
molweight,FLOAT
molformula,STR
molfile,STR
canonical smiles,STR
inchi,STR
inchi key,STR
tc id,INTEGER
l,STR
target classification,STR
emp id,STR
fname,STR
minit,STR
lname,STR
job lvl,INTEGER
pub id,STR
tale,STR
book,STR
population growth,FLOAT
infant mortality,FLOAT
artist id,INTEGER
artist,STR
famous title,STR
famous release date,STR
volume id,INTEGER
volume issue,STR
weeks on top,FLOAT
song,STR
music festival,STR
date of ceremony,STR
volume,INTEGER
county id,INTEGER
police officers,INTEGER
residents per officer,INTEGER
case burden,INTEGER
crime rate,FLOAT
police force,STR
white,FLOAT
black,FLOAT
amerindian,FLOAT
asian,FLOAT
multiracial,FLOAT
hispanic,FLOAT
atom type,INTEGER
charge,FLOAT
class label,INTEGER
app id,INTEGER
workclass,STR
fnlwgt,INTEGER
education,STR
education-num,INTEGER
marital-status,STR
occupation,STR
sex,STR
capital-gain,INTEGER
capital-loss,INTEGER
hours-per-week,INTEGER
native-country,STR
income,STR
sales tax rate id,INTEGER
state province id,INTEGER
payments,FLOAT
num,STR
ship method id,INTEGER
ship base,FLOAT
event type,STR
cr returned date sk,INTEGER
cr returned time sk,INTEGER
cr item sk,INTEGER
cr refunded customer sk,INTEGER
cr refunded cdemo sk,INTEGER
cr refunded hdemo sk,INTEGER
cr refunded addr sk,INTEGER
cr returning customer sk,INTEGER
cr returning cdemo sk,INTEGER
cr returning hdemo sk,INTEGER
cr returning addr sk,INTEGER
cr call center sk,INTEGER
cr catalog page sk,INTEGER
cr ship mode sk,INTEGER
cr warehouse sk,INTEGER
cr reason sk,INTEGER
cr order number,INTEGER
cr return quantity,INTEGER
cr return amount,FLOAT
implementation id,INTEGER
id funkce,INTEGER
id typ funkce,INTEGER
nazev funkce cz,STR
phone id,INTEGER
memory in g,INTEGER
market id,INTEGER
num of employees,INTEGER
num of shops,FLOAT
num of stock,INTEGER
consumption,FLOAT
email address id,INTEGER
draft selection,INTEGER
draft overall,INTEGER
suffix name,STR
draft from,STR
played pro,STR
pick route,STR
cost rate,FLOAT
attribute id,INTEGER
attribute data type,STR
catalog id,INTEGER
catalog name,STR
catalog publisher,STR
date of publication,TIME
date of latest revision,TIME
catalog level number,INTEGER
catalog level name,STR
catalog entry id,INTEGER
parent entry id,INTEGER
previous entry id,INTEGER
next entry id,INTEGER
catalog entry name,STR
product stock number,STR
price in dollars,FLOAT
price in euros,FLOAT
price in pounds,FLOAT
brewery id,INTEGER
abv,FLOAT
ibu,FLOAT
tx id,STR
tx name,STR
tx rate,FLOAT
essential,STR
complex,STR
phenotype,STR
chromosome,INTEGER
function,STR
localization,STR
wrestler id,INTEGER
reign,STR
days held,STR
elimination id,STR
eliminated by,STR
elimination move,STR
altitude,FLOAT
daynum,INTEGER
wteam,INTEGER
wscore,INTEGER
lteam,INTEGER
lscore,INTEGER
wloc,STR
numot,INTEGER
wfgm,INTEGER
wfga,INTEGER
wftm,INTEGER
wfta,INTEGER
wor,INTEGER
wdr,INTEGER
wast,INTEGER
wto,INTEGER
wstl,INTEGER
wblk,INTEGER
wpf,INTEGER
lfgm,INTEGER
lfga,INTEGER
lftm,INTEGER
lfta,INTEGER
lor,INTEGER
ldr,INTEGER
last,INTEGER
lto,INTEGER
lstl,INTEGER
lblk,INTEGER
lpf,INTEGER
home games,INTEGER
average attendance,FLOAT
total attendance,FLOAT
capacity percentage,FLOAT
home team,STR
away team,STR
competition,STR
game id,INTEGER
player,STR
injury,STR
number of matches,STR
acctrn key,INTEGER
acc key,INTEGER
actrntp key,INTEGER
acctrn accounting date,TIME
acctrn amount czk,INTEGER
acctrn amount fx,INTEGER
curr iso code,STR
acctrn crdr flag,STR
acctrn cash flag,STR
acctrn interest flag,STR
acctrn tax flag,STR
acctrn fee flag,STR
acc other account key,INTEGER
acctp other account key,INTEGER
ind,FLOAT
inda,FLOAT
logp,FLOAT
lumo,FLOAT
school,STR
enrollment,FLOAT
founded,FLOAT
denomination,STR
boys or girls,STR
day or boarding,STR
year entered competition,FLOAT
school colors,STR
colors,STR
division,STR
school year,STR
class a,STR
class aa,STR
act id,INTEGER
fix description,STR
contributor,STR
compound key,STR
compound name,STR
other address details,STR
course name,STR
course description,STR
department id,INTEGER
department name,STR
department description,STR
degree program id,INTEGER
degree summary name,STR
degree summary description,STR
section id,INTEGER
section name,STR
section description,STR
semester id,INTEGER
semester name,STR
semester description,STR
student id,INTEGER
current address id,INTEGER
permanent address id,INTEGER
cell mobile number,STR
ssn,STR
date first registered,TIME
date left,TIME
other student details,STR
student enrolment id,INTEGER
student course id,INTEGER
transcript id,INTEGER
transcript date,TIME
realname,STR
default rights,INTEGER
publishable,INTEGER
reviewer,INTEGER
reviewer comments,STR
dept id,INTEGER
rights,INTEGER
modified on,TIME
modified by,STR
sys name,STR
sys value,STR
display name,STR
pw reset code,STR
can add,INTEGER
can checkin,INTEGER
meta id,INTEGER
meta key,STR
meta value,STR
comment post id,INTEGER
comment author,STR
comment author url,STR
comment author ip,STR
comment date,TIME
comment date gmt,TIME
comment content,STR
comment karma,INTEGER
comment approved,STR
comment agent,STR
comment parent,INTEGER
link image,STR
link visible,STR
link rating,INTEGER
link updated,TIME
link rel,STR
link notes,STR
link rss,STR
option name,STR
option value,STR
autoload,STR
post author,INTEGER
post date,TIME
post date gmt,TIME
post content,STR
post title,STR
post excerpt,STR
post status,STR
ping status,STR
post password,STR
post name,STR
to ping,STR
pinged,STR
post modified,TIME
post modified gmt,TIME
post content filtered,STR
post parent,INTEGER
post type,STR
post mime type,STR
term taxonomy id,INTEGER
term order,INTEGER
term id,INTEGER
taxonomy,STR
slug,STR
term group,INTEGER
umeta id,INTEGER
user pass,STR
user nicename,STR
user url,STR
user registered,TIME
user activation key,STR
user status,INTEGER
c id,FLOAT
related post id,INTEGER
link type id,INTEGER
id states,INTEGER
county,STR
address type id,INTEGER
food type,STR
restaurant id,INTEGER
house number,INTEGER
street name,STR
tax code,STR
business certificate,INTEGER
application date,TIME
owner name,STR
owner city,STR
owner state,STR
owner zip,STR
author tutor atb,STR
personal name,STR
family name,STR
gender mf,STR
date of registration,TIME
date of latest logon,TIME
subject id,INTEGER
subject name,STR
registration id,INTEGER
date of enrolment,TIME
date of completion,TIME
date test taken,TIME
test result,STR
artificial id,STR
boatname,STR
master,STR
tonnage,INTEGER
type of boat,STR
bought,STR
hired,STR
yard,STR
chamber,STR
departure date,TIME
departure harbour,STR
cape arrival,TIME
cape departure,TIME
cape call,STR
arrival date,TIME
arrival harbour,STR
next voyage,INTEGER
particulars,STR
algorithm class,STR
postcode,STR
zone id,INTEGER
custom field,STR
api id,INTEGER
api ip id,INTEGER
api session id,INTEGER
attribute group id,INTEGER
banner image id,INTEGER
cart id,INTEGER
recurring id,INTEGER
meta keyword,STR
path id,INTEGER
layout id,INTEGER
iso code,STR
address format,STR
postcode required,INTEGER
coupon id,INTEGER
coupon history id,INTEGER
coupon product id,INTEGER
symbol left,STR
symbol right,STR
decimal place,STR
custom field id,INTEGER
custom field value id,INTEGER
telephone,STR
cart,STR
wishlist,STR
safe,INTEGER
customer activity id,INTEGER
commission,FLOAT
customer approval id,INTEGER
approval,INTEGER
customer history id,INTEGER
customer ip id,INTEGER
customer login id,INTEGER
customer reward id,INTEGER
customer search id,INTEGER
sub category,INTEGER
products,INTEGER
customer transaction id,INTEGER
trigger,STR
extension install id,INTEGER
extension download id,INTEGER
extension path id,INTEGER
filter group id,INTEGER
geo zone id,INTEGER
google product category,STR
product advertise google id,INTEGER
has issues,INTEGER
product variation id,STR
destination statuses,STR
data quality issues,STR
item level issues,STR
google expiration date,INTEGER
advertise google target id,INTEGER
campaign name,STR
budget,FLOAT
directory,STR
layout module id,INTEGER
layout route id,INTEGER
length class id,INTEGER
geocode,STR
manufacturer id,INTEGER
marketing id,INTEGER
modification id,INTEGER
xml,STR
setting,STR
option value id,INTEGER
invoice no,INTEGER
invoice prefix,STR
store name,STR
store url,STR
payment firstname,STR
payment lastname,STR
payment company,STR
payment address,STR
payment city,STR
payment postcode,STR
payment country,STR
payment country id,INTEGER
payment zone,STR
payment zone id,INTEGER
payment address format,STR
payment custom field,STR
payment code,STR
shipping firstname,STR
shipping lastname,STR
shipping company,STR
shipping address,STR
shipping city,STR
shipping postcode,STR
shipping country,STR
shipping country id,INTEGER
shipping zone,STR
shipping zone id,INTEGER
shipping address format,STR
shipping custom field,STR
shipping method,STR
shipping code,STR
order history id,INTEGER
order option id,INTEGER
order product id,INTEGER
product option id,INTEGER
product option value id,INTEGER
order recurring id,INTEGER
product quantity,INTEGER
recurring name,STR
recurring description,STR
recurring frequency,STR
recurring cycle,INTEGER
recurring duration,INTEGER
recurring price,FLOAT
order recurring transaction id,INTEGER
order shipment id,INTEGER
shipping courier id,STR
order total id,INTEGER
order voucher id,INTEGER
from email,STR
to name,STR
to email,STR
voucher theme id,INTEGER
sku,STR
upc,STR
jan,STR
isbn,STR
mpn,STR
stock status id,INTEGER
shipping,INTEGER
product discount id,INTEGER
product image id,INTEGER
subtract,INTEGER
related id,INTEGER
product reward id,INTEGER
product special id,INTEGER
return id,INTEGER
return reason id,INTEGER
return action id,INTEGER
return status id,INTEGER
date ordered,TIME
return history id,INTEGER
seo url id,INTEGER
expire,TIME
setting id,INTEGER
serialized,INTEGER
shipping courier code,STR
shipping courier name,STR
statistics id,INTEGER
ssl,STR
tax class id,INTEGER
tax rate id,INTEGER
tax rule id,INTEGER
based,STR
theme id,INTEGER
translation id,INTEGER
user group id,INTEGER
voucher history id,INTEGER
weight class id,INTEGER
zone to geo zone id,INTEGER
div id,STR
playoff,STR
pts,INTEGER
so w,STR
so l,STR
ga,INTEGER
bench minor,STR
ppg,STR
ppc,STR
sha,STR
pkg,STR
pkc,STR
shf,STR
target timestamp,TIME
bool,BINARY
char,STR
float,FLOAT
double,FLOAT
smallint,INTEGER
int,INTEGER
bigint,INTEGER
numeric decimal,FLOAT
cd s code,STR
academic year,STR
county code,STR
district code,INTEGER
school code,STR
county name,STR
district name,STR
district type,STR
school type,STR
educational option type,STR
nslp provision status,STR
charter school (y/n),INTEGER
charter school number,STR
charter funding type,STR
irc,INTEGER
low grade,STR
high grade,STR
enrollment (k-12),FLOAT
free meal count (k-12),FLOAT
percent (%) eligible free (k-12),FLOAT
frpm count (k-12),FLOAT
percent (%) eligible frpm (k-12),FLOAT
enrollment (ages 5-17),FLOAT
free meal count (ages 5-17),FLOAT
percent (%) eligible free (ages 5-17),FLOAT
frpm count (ages 5-17),FLOAT
percent (%) eligible frpm (ages 5-17),FLOAT
2013-14 calpads fall 1 certification status,INTEGER
att id,INTEGER
mem id,INTEGER
att point,INTEGER
att memo,STR
att continuity,INTEGER
att ranking,INTEGER
att date,TIME
att datetime,TIME
aul id,INTEGER
aul key,STR
bng name,STR
ban start date,TIME
ban end date,TIME
ban title,STR
bcl id,INTEGER
bcl datetime,TIME
bcl ip,STR
bcl referer,STR
bcl url,STR
bcl useragent,STR
bng id,INTEGER
bla id,INTEGER
brd id,INTEGER
bgr id,INTEGER
brd idv,INTEGER
brd key,STR
brd name,STR
brd mobile name,STR
brd order,INTEGER
brd search,INTEGER
bam id,INTEGER
bca id,STR
bca key,STR
bgr key,STR
bga id,INTEGER
bgm key,STR
bgm value,STR
bmt key,STR
bmt value,STR
